Successfully loaded Excel file: hochma_db_final_corrected.xlsx

--- Missing Chapters ---
No missing chapters found based on the hardcoded Bible structure.

--- Incomplete Chapters (Verse Count Mismatch) ---
열왕기하 15장: 예상 38개 절, 실제 10개 절
열왕기하 18장: 예상 37개 절, 실제 1개 절
열왕기하 19장: 예상 37개 절, 실제 14개 절
열왕기하 20장: 예상 21개 절, 실제 15개 절
역대상 2장: 예상 55개 절, 실제 14개 절
역대상 7장: 예상 40개 절, 실제 35개 절
역대상 9장: 예상 44개 절, 실제 1개 절
역대상 11장: 예상 47개 절, 실제 6개 절
역대상 12장: 예상 40개 절, 실제 10개 절
역대상 19장: 예상 19개 절, 실제 11개 절
역대하 2장: 예상 18개 절, 실제 19개 절
역대하 15장: 예상 19개 절, 실제 3개 절
역대하 28장: 예상 27개 절, 실제 25개 절
에스라 6장: 예상 22개 절, 실제 6개 절
느헤미야 2장: 예상 20개 절, 실제 2개 절
느헤미야 7장: 예상 73개 절, 실제 3개 절
느헤미야 9장: 예상 38개 절, 실제 20개 절
느헤미야 12장: 예상 47개 절, 실제 41개 절
욥기 8장: 예상 22개 절, 실제 7개 절
욥기 10장: 예상 22개 절, 실제 12개 절
욥기 17장: 예상 16개 절, 실제 12개 절
욥기 20장: 예상 29개 절, 실제 27개 절
욥기 21장: 예상 34개 절, 실제 9개 절
욥기 22장: 예상 30개 절, 실제 15개 절
욥기 24장: 예상 25개 절, 실제 2개 절
욥기 40장: 예상 24개 절, 실제 19개 절
시편 20장: 예상 9개 절, 실제 1개 절
시편 24장: 예상 10개 절, 실제 4개 절
시편 26장: 예상 12개 절, 실제 10개 절
시편 32장: 예상 11개 절, 실제 1개 절
시편 34장: 예상 22개 절, 실제 8개 절
시편 36장: 예상 12개 절, 실제 2개 절
시편 37장: 예상 40개 절, 실제 33개 절
시편 55장: 예상 23개 절, 실제 12개 절
시편 58장: 예상 11개 절, 실제 1개 절
시편 66장: 예상 20개 절, 실제 7개 절
시편 68장: 예상 20개 절, 실제 35개 절
시편 69장: 예상 28개 절, 실제 2개 절
시편 70장: 예상 23개 절, 실제 5개 절
시편 71장: 예상 10개 절, 실제 24개 절
시편 72장: 예상 12개 절, 실제 19개 절
시편 73장: 예상 20개 절, 실제 28개 절
시편 74장: 예상 72개 절, 실제 23개 절
시편 75장: 예상 13개 절, 실제 7개 절
시편 76장: 예상 19개 절, 실제 12개 절
시편 77장: 예상 19개 절, 실제 20개 절
시편 78장: 예상 8개 절, 실제 72개 절
시편 79장: 예상 18개 절, 실제 6개 절
시편 80장: 예상 12개 절, 실제 2개 절
시편 81장: 예상 13개 절, 실제 3개 절
시편 82장: 예상 17개 절, 실제 8개 절
시편 83장: 예상 7개 절, 실제 5개 절
시편 84장: 예상 18개 절, 실제 12개 절
시편 85장: 예상 52개 절, 실제 13개 절
시편 87장: 예상 16개 절, 실제 8개 절
시편 88장: 예상 15개 절, 실제 18개 절
시편 89장: 예상 5개 절, 실제 52개 절
시편 90장: 예상 23개 절, 실제 17개 절
시편 91장: 예상 11개 절, 실제 16개 절
시편 92장: 예상 8개 절, 실제 15개 절
시편 93장: 예상 12개 절, 실제 5개 절
시편 94장: 예상 9개 절, 실제 2개 절
시편 95장: 예상 9개 절, 실제 6개 절
시편 96장: 예상 5개 절, 실제 8개 절
시편 97장: 예상 8개 절, 실제 12개 절
시편 98장: 예상 28개 절, 실제 9개 절
시편 99장: 예상 22개 절, 실제 9개 절
시편 100장: 예상 35개 절, 실제 5개 절
시편 101장: 예상 45개 절, 실제 8개 절
시편 102장: 예상 48개 절, 실제 28개 절
시편 103장: 예상 43개 절, 실제 3개 절
시편 104장: 예상 19개 절, 실제 35개 절
시편 105장: 예상 13개 절, 실제 45개 절
시편 106장: 예상 31개 절, 실제 48개 절
시편 107장: 예상 7개 절, 실제 19개 절
시편 108장: 예상 10개 절, 실제 13개 절
시편 109장: 예상 10개 절, 실제 31개 절
시편 110장: 예상 9개 절, 실제 7개 절
시편 111장: 예상 8개 절, 실제 10개 절
시편 112장: 예상 18개 절, 실제 10개 절
시편 113장: 예상 19개 절, 실제 9개 절
시편 114장: 예상 2개 절, 실제 8개 절
시편 115장: 예상 29개 절, 실제 18개 절
시편 116장: 예상 176개 절, 실제 19개 절
시편 117장: 예상 7개 절, 실제 2개 절
시편 118장: 예상 8개 절, 실제 29개 절
시편 119장: 예상 9개 절, 실제 176개 절
시편 120장: 예상 4개 절, 실제 7개 절
시편 122장: 예상 5개 절, 실제 9개 절
시편 123장: 예상 6개 절, 실제 4개 절
시편 124장: 예상 5개 절, 실제 8개 절
시편 125장: 예상 6개 절, 실제 5개 절
시편 126장: 예상 8개 절, 실제 6개 절
시편 127장: 예상 8개 절, 실제 5개 절
시편 128장: 예상 3개 절, 실제 6개 절
시편 129장: 예상 18개 절, 실제 8개 절
시편 130장: 예상 3개 절, 실제 8개 절
시편 132장: 예상 21개 절, 실제 18개 절
시편 133장: 예상 26개 절, 실제 3개 절
시편 134장: 예상 9개 절, 실제 3개 절
시편 135장: 예상 8개 절, 실제 21개 절
시편 136장: 예상 24개 절, 실제 26개 절
시편 137장: 예상 13개 절, 실제 9개 절
시편 138장: 예상 10개 절, 실제 8개 절
시편 139장: 예상 7개 절, 실제 24개 절
시편 140장: 예상 12개 절, 실제 13개 절
시편 141장: 예상 15개 절, 실제 10개 절
시편 142장: 예상 21개 절, 실제 7개 절
시편 143장: 예상 10개 절, 실제 12개 절
시편 144장: 예상 20개 절, 실제 15개 절
시편 145장: 예상 14개 절, 실제 21개 절
시편 146장: 예상 9개 절, 실제 10개 절
시편 147장: 예상 6개 절, 실제 20개 절
잠언 3장: 예상 35개 절, 실제 14개 절
잠언 11장: 예상 31개 절, 실제 14개 절
잠언 15장: 예상 33개 절, 실제 21개 절
잠언 16장: 예상 33개 절, 실제 28개 절
잠언 18장: 예상 24개 절, 실제 11개 절
잠언 21장: 예상 31개 절, 실제 9개 절
전도서 1장: 예상 18개 절, 실제 1개 절
전도서 2장: 예상 26개 절, 실제 20개 절
아가 3장: 예상 11개 절, 실제 12개 절
아가 6장: 예상 13개 절, 실제 14개 절
이사야 28장: 예상 29개 절, 실제 28개 절
이사야 32장: 예상 20개 절, 실제 11개 절
이사야 33장: 예상 24개 절, 실제 9개 절
이사야 34장: 예상 17개 절, 실제 3개 절
이사야 35장: 예상 10개 절, 실제 5개 절
